urlGuia,idNormas,pregunta,respuesta
derechos-laborales-ante-catastrofes-naturales,28650;207436,¿Tengo derecho a indemnización si me despiden por causa de fuerza mayor en el contexto de catastrofes naturales?,"No. Al poner término a la relación laboral por la causal “caso fortuito o fuerza mayor”,  el trabajador no tiene derecho a recibir indemnización legal, denominada también “indemnización por años de servicio”. El Código del Trabajo señala que para la procedencia de esta indemnización, entre otros requisitos, el contrato debe terminar por algunas de las causales del artículo 161 o “necesidades de la empresa”. Esto no quita que al trabajador se le paguen indemnizaciones convencionales, es decir, pactadas en el contrato de trabajo."
derechos-y-deberes-de-los-pacientes-en-salud,1039348;238102;249177;229834;221629,¿Los derechos de los pacientes son válidos en el sistema público y en el privado?,"Los derechos se pueden exigir en ambos sistemas. Asimismo, se aplican respecto a todos los profesionales y trabajadores que se   relacionen con público en el marco de atenciones de salud."
derechos-y-deberes-de-padres-madres-y-apoderados,269001;1111237;1014974,"¿Qué responsabilidad tienen los padres, madres y apoderados respecto de los derechos y deberes de los estudiantes?","El sistema educativo debe promover el principio de la responsabilidad de la comunidad estudiantil, especialmente en relación con el ejercicio de sus derechos y el cumplimiento de sus deberes escolares, cívicos, ciudadanos y sociales. Este principio se hace extensivo a los padres y apoderados, en relación con la educación de sus hijos o pupilos."
despenalizacion-de-la-interrupcion-voluntaria-del-embarazo-en-tres-causales,1010482;1108237,¿En qué casos específicos se autoriza la realización de un procedimiento médico para la interrupción voluntaria del embarazo?,"Se autoriza en las siguientes circunstancias: Si la mujer se encuentra en riesgo vital y la interrupción del embarazo evita un peligro para su vida. Si el embrión o feto padece una patología de carácter letal, incompatible con la vida independiente fuera del útero de la mujer. Que el embarazo sea resultado de una violación. En ese caso, se requiere que no hayan transcurrido más de 12 semanas de gestación. Pero tratándose de una niña menor de 14 años,  este plazo aumenta a 14 semanas."
determinacion-de-remuneraciones-de-autoridades,1145781;242302,¿Quiénes integrarán la comisión que definirá las remuneraciones de las autoridades señaladas?,La comisión queda integrada por las siguientes personas: Un ex Ministro de Hacienda. Un ex Consejero del Banco Central. Un ex Contralor o Subcontralor de la Contraloría General de la República. Un ex Presidente de una de las ramas que integran el Congreso Nacional (Senado o Cámara de Diputadas y Diputados). Un ex Director Nacional del Servicio Civil.
diputados,1108229;1107717;1077039;30289,¿Cómo se eligen los diputados y diputadas?,"En votación ciudadana directa, cada cuatro años. La Cámara de Diputados tiene 155 representantes, que se eligen en 28 distritos electorales. Según la ley, pueden ser reelegidos en sus cargos."
division-de-predios-rusticos,13560;7155;1074315;268116,¿Qué resuelve la ley respecto de las subdivisiones de predios rústicos y el acceso a espacios públicos?,"Los predios resultantes de una subdivisión deberán tener acceso a un espacio público o a un camino proveniente del proceso de parcelación de la reforma agraria. Las servidumbres de paso (porción determinada de un predio que permite el tránsito desde otro terreno que no colinda con un espacio público) deben ser inscritas en el Conservador de Bienes Raíces correspondiente. La ley aborda el problema de lotes resultantes de una subdivisión de predios rústicos que carecían de un acceso adecuado y permanente a un espacio público o camino proveniente del proceso de parcelación de la Reforma Agraria. Desde ahora, la subdivisión debe asegurar que todos los lotes resultantes tengan este acceso. Además establece que la servidumbre de paso, (porción determinada de un predio que permite el tránsito desde otro terreno que no colinda con un espacio público) en los casos que corresponda sea inscrita en el Conservador de Bienes Raíces respectivo."
divorcio,225128;269163;229557;277775,¿Cuáles son las causales para pedir el divorcio?,"Existen dos grupos de causales: 1. El cese de la convivencia: Es decir, que los cónyuges no hagan vida en común. En este caso el divorcio puede ser solicitado por ambos de común acuerdo, o bien sólo por uno de ellos. Ambos cónyuges pueden pedir de común acuerdo el divorcio. Para ello debe haber transcurrido al menos un año desde el término de la vida en pareja, lo que debe ser acreditado en el juicio. Si el matrimonio se celebró después de la entrada en vigencia de la nueva Ley de Matrimonio Civil, el cese de la convivencia deberá acreditarse con las limitaciones señaladas en la citada ley, las que no rigen para los matrimonios celebrados con anterioridad a ella. Las partes deberán acompañar a su demanda un acuerdo que regule sus relaciones mutuas y respecto de sus hijos y bienes. Sólo uno de los cónyuges puede solicitar el divorcio, sin el acuerdo del otro. Para ello deben haber transcurrido al menos tres años desde el cese de la convivencia en pareja, lo que debe ser acreditado en el juicio. Si el matrimonio se celebró después de la entrada en vigencia de la nueva Ley de Matrimonio Civil, el cese de la convivencia deberá acreditarse con las limitaciones señaladas en la citada ley, las que no rigen para los matrimonios celebrados con anterioridad a ella. Lo relativo a las relaciones mutuas de los cónyuges, a sus hijos y bienes, será regulado en el juicio. En estos casos el juez puede negar el divorcio si el cónyuge que lo pide incumplió su obligación de alimentos, durante le cese de la convivencia. 2. Conductas que infrinjan gravemente los deberes y obligaciones propias del matrimonio , o los deberes y obligaciones que se tienen respecto de los hijos, que tornen intolerable la vida en común. Por ejemplo: - Maltrato físico o psicológico grave, contra el cónyuge o los hijos. - Atentado contra la vida del cónyuge o hijos. - El incumplimiento grave y reiterado de los deberes de convivencia, socorro y fidelidad. Como por ejemplo el abandono reiterado del hogar común. - Alcoholismo o drogadicción que impida gravemente una convivencia armoniosa entre los cónyuges o entre éstos y los hijos. Tratándose de esta causal, el divorcio lo puede solicitar el cónyuge afectado sin necesidad de esperar plazo alguno."
donacion-de-organos,30818;1055362;1010132;1100117;1154103;5595;1051662,¿Cuándo se hace efectiva la donación de órganos?,Cuando se haya acreditado la muerte encefálica por dos médicos cirujanos distintos a los que realizarán el trasplante.
donaciones-culturales,30353;172986;184845,¿Cuál es el objetivo  de la Ley de  Donaciones Culturales?,"Estimular  la inversión privada en proyectos artísticos - culturales y las donaciones para  fines culturales. La ley contempla beneficios y créditos tributarios para los  donantes, siempre que se encuentren dentro de los contribuyentes señalados en  su texto."
drogas,269323;74954;235507;1010082,¿Qué sanciona la ley chilena en materia de producción de drogas?,"La ley sanciona a los que elaboren, fabriquen, transformen, preparen o extraigan sin la debida autorización sustancias o drogas estupefacientes o sicotrópicas productoras de dependencia física o síquica, capaces de provocar graves efectos tóxicos o daños considerables a la salud."
educacion-superior-y-gratuidad,1111237;1118991,¿La educación superior es un derecho?,"La ley establece que la educación superior es un derecho, que debe estar al alcance de todas las personas, de acuerdo a sus capacidades y méritos. No debe haber discriminaciones arbitrarias para que las personas puedan desarrollar sus talentos en este ámbito."
eleccion-democratica-de-gobernadores-regionales,1115064;1157863;243771;1115503,¿Cuándo se hará la elección de Gobernadores Regionales?,"Las elecciones de gobernadores regionales se harán cada cuatro años. La primera se hará los días 15 y 16 de mayo de 2021 y las eventuales segundas vueltas, el 13 de junio de 2021. Para hacer calzar las elecciones de Gobernadores Regionales y Consejeros Regionales, y no afectar la duración del cargo de los consejeros electos en 2017, es decir 4 años, la próxima elección de Consejeros Regionales será el 21 de noviembre de 2021, junto con las elecciones presidenciales y parlamentarias. Quienes sean electos consejeros en esos comicios estarán en el cargo sólo por 3 años, para hacer coincidir la siguiente elección de este tipo de cargos, con las elecciones de Gobernador Regional y municipales de octubre de 2024."
eleccion-popular-de-consejeros-regionales,1108229;1051270;1107717;1050184;242302,¿Cuándo se realizan las elecciones de  consejeros regionales?,"Las  elecciones de consejeros regionales se efectuarán cada cuatro años,  conjuntamente con las elecciones parlamentarias y presidenciales."
elecciones-municipales,1108229;1107717;1050184;251693;1083246,¿Cuándo son las elecciones municipales?,Las elecciones municipales se realizan cada cuatro años el último domingo del mes de octubre. Las de 2020 fueron aplazadas para los días 10 y 11 de abril de 2021 por la pandemia de Covid-19.
elecciones-parlamentarias,1108229;1107717;1050184;242302;1077039,¿Cada cuánto se realizan las elecciones parlamentarias?,"Cada cuatro años, conjuntamente con la elección de Presidente de la República. La elección debe realizarse el tercer domingo de noviembre del año anterior al cual el Presidente en ejercicio deba dejar el cargo."
elecciones-presidenciales,1108229;1107717;1050184;242302,¿Cada cuánto se realizan las elecciones presidenciales?,"Cada cuatro años, pues eso es lo que dura un período presidencial. La elección debe realizarse el tercer domingo de noviembre del año anterior al que quien ejerce la Presidencia de la República deba dejar su mandato."
elecciones-primarias,1107717;1108229;1050184;1107657;242302,¿Cómo se  realizan las elecciones primarias para parlamentarios?,Los partidos pueden realizar las primarias entre sus propios candidatos o por  pacto con otros partidos. Los independientes podrán participar en las elecciones  primarias ya sea nominados por un partido político o como integrantes de un  pacto electoral.
elige-vivir-sano,1041570;1051410;71271,¿Qué es el sistema Elige vivir sano?,"Es un sistema para el fomento de la  vida saludable, que se impulsa como una política de Estado, con la perspectiva  de otorgarle sustentabilidad en el largo plazo. Se desarrolla a través de  políticas, planes y programas elaborados y ejecutados por distintos organismos  oficiales. También participan del sistema entidades privadas y empresas en  convenio."
eliminacion-de-la-cotizacion-de-salud-para-pensionados,249177;7147;269892;1082683,¿Cuánto pagaban los pensionados de cotización para salud antes de su eliminación?,"Anteriormente, todos los pensionados debían cotizar un 7% para tener derecho a inscribirse en un sistema de salud. Ya en 2011 se había eliminado el pago del 7% de cotización de salud para los pensionados beneficiarios del Sistema de Pensiones Solidarias (Pensión Básica Solidaria, PBS, o Aporte Previsional Solidario, APS). En tanto para los pensionados del sistema de AFP se había establecido una rebaja de la cotización del 7% al 5%."
eliminacion-de-tramites-en-notarias,1194043;25563,¿Qué trámites notariales se eliminan en la Ley General de Servicios Eléctricos?,Las solicitudes de concesiones provisionales y las concesiones definitivas no deberán reducirse a escritura pública notarial. Tampoco se exigirá escritura pública la adjudicación de obras de ampliación de los sistemas de transmisión ni para la modificación de trazados.
eliminacion-del-cheque-en-garantia-en-salud,249177;1008274,¿No estaba prohibida desde antes la exigencia del cheque en garantía en salud?,"Efectivamente, el Decreto con Fuerza de Ley N° 1/2006 del Ministerio de Salud prohíbe a los prestadores exigir dinero, cheques u otros instrumentos financieros para garantizar el pago o condicionar de cualquier forma atenciones de emergencia médica, como por ejemplo infartos o accidentados graves. Eso se mantiene vigente."
empresas-de-aplicaciones-de-transporte-remunerado-de-pasajeros,1191380;1007469,¿A que se denomina Empresa de Aplicación de Transportes?,"La Empresa de Aplicación de Transportes (EAT) es la que presta o pone a disposición de las personas un servicio de plataforma digital para el transporte de pasajeros. Se usa un sistema informático o tecnológico, que permite a un pasajero contactarse con el propietario, administrador o conductor de un vehículo de transporte menor, para ser transportado desde un origen a un destino determinado, y considera el pago de una tarifa por el servicio recibido. Las EAT serán consideradas para todos los efectos como empresas de transporte remunerado de pasajeros y, asimismo, sus servicios serán calificados como servicios de transporte remunerado de pasajeros."
empresas-y-personas-deudoras-reorganizacion-y-liquidacion,1058072,¿De qué manera  se fomenta la reorganización de las empresas deudoras?,"Se busca la  conservación de las empresas como unidades  productivas, lo que les permitiría mantener el giro y seguir dando empleo. Para las personas naturales, el procedimiento concursar de renegociación  les permite renegociar las deudas con los acreedores o les da la opción de ejecutar  los bienes de forma simplificada y expedita para pagar las deudas."
espacio-costero-marino-de-los-pueblos-originarios,269291;1002637,¿Qué pasa si al solicitar el espacio costero marino de pueblos originarios existen otras comunidades indígenas que también hacen un uso consuetudinario de ese espacio?,"En ese caso, esas comunidades indígenas podrán asociarse con el solicitante para administrar en conjunto el espacio   costero marino, o, deberán ser consideradas como usuarias del espacio costero marino en el plan de administración."
estacionamiento-en-playas,251693;18967,¿igual debo pagar por el estacionamiento en la playa?,"Sí, todos deben pagar por igual. Algunas municipalidades otorgan como beneficio, al obtener el permiso de circulación, que el usuario no pague en los estacionamientos playeros de la comuna."
estatuto-de-las-pymes,1015913;13315;1010668,¿Qué es una PYME?,"La sigla “PYME” significa “Pequeña y Mediana Empresa”. Adicionalmente, la ley hace las siguientes definiciones: Microempresas: Empresas cuyos ingresos anuales por ventas y servicios y otras actividades del giro, no hayan superado las 2.400 UF en el último año calendario. Pequeñas empresas: Empresas cuyos ingresos anuales por ventas y servicios y otras actividades del giro, sean superiores a 2.400 UF, pero inferiores a 25.000 UF en el último año calendario. Medianas empresas: Empresas cuyos ingresos anuales por ventas y servicios y otras actividades del giro, sean superiores a 25.000 UF, pero inferiores a 100.000 UF en el último año calendario. Adicionalmente, para efectos laborales, se hace la siguiente clasificación según número de trabajadores: Microempresas: Empresas que cuentan con uno a nueve trabajadores. Pequeñas empresas: Empresas que cuentan con 10 a 49 trabajadores. Medianas empresas: Empresas que cuentan con 50 a 199 trabajadores. No pueden ser PYMEs las empresas que exploten bienes raíces no agrícolas, realicen negocios inmobiliarios o actividades   financieras que no sean las necesarias para el desarrollo de su actividad principal, empresas en cuyo capital participen, en más de un 30%, sociedades que tengan acciones que se coticen en la Bolsa, ni filiales de éstas."
estatuto-de-los-asistentes-de-la-educacion-publica,1123513;1111237;1030934;269001;1078172;1014974,¿Qué es la dotación pública de asistentes de la educación?,"Es el número total de asistentes que se desempeñen en los establecimientos educacionales dependientes de un mismo servicio local, expresada en horas cronológicas de trabajo semanales."
etiquetado-de-alimentos,1041570;1163923;71271,¿Qué tipo de información deben tener los alimentos?,"Los envases o etiquetas de los alimentos destinados al consumo humano (es decir, se excluyen los alimentos para animales) deben indicar los ingredientes que contienen, incluyendo todos sus aditivos (expresados en orden decreciente de proporciones), y su información nutricional. Además se deberá informar, al menos, los contenidos de energía, azúcares, sodio y grasas saturadas y los demás que el Ministerio de Salud determine. Asimismo, deberán informar en sus envases o etiquetas la calidad de “libre de gluten” de los alimentos que lo sean. Los alimentos que se etiqueten como “libre de gluten” deberán cumplir con las condiciones que fije el Reglamento Sanitario de los Alimentos para que sean calificados como tales. Además, los fabricantes deberán contar con un programa de buenas prácticas de elaboración, que será establecido por la autoridad sanitaria competente."
excesos-y-excedentes-en-el-sistema-isapres,249177;285989,¿Qué son los excedentes en salud?,"El excedente es una diferencia a favor del afiliado, cuando la cotización legal obligatoria del 7% supera el precio del plan de salud contratado en una Isapre. Por ejemplo, si su 7% corresponde a 4 UF y usted normalmente cotiza un plan de 3,8 UF, se genera un excedente de 0,2 UF."
exencion-del-pago-de-peaje-para-vehiculos-de-emergencia,1063105;1089564;1007469;257710,¿Los vehículos de las Fuerzas Armadas están siempre exentos del pago de peaje?,"No, los vehículos de las Fuerzas Armadas sólo estarán exentos del pago de peaje cuando se hubiese declarado estado de excepción constitucional de catástrofe. Esta exención regirá solamente durante el período de vigencia de dicho estado y tendrá aplicación únicamente dentro de la zona o región afectada, así como para ingresar en dicha área o salir de ella. Eso ocurre, por ejemplo con ocasión de un terremoto o maremoto cuando en un sector se declara en estado de catástrofe. Cuando eso ocurre, el Ministerio de Obras Públicas deberá poner inmediatamente en conocimiento de las empresas concesionarias el respectivo decreto que establece ese estado de excepción."
explica-la-legislacion-acerca-de-la-explotacion-sexual-de-menores-de-18-anos-y-define-las-sanciones-de-quienes-participan-en-los-delitos,1984;1041136;1053666;1137904;264243;176595;1113932,¿Qué se entiende por material pornográfico o de explotación sexual en cuya elaboración hubieren sido utilizadas personas menores de dieciocho años?,"Es toda representación de los menores de edad dedicados a actividades sexuales explícitas, reales o simuladas, o toda representación de sus partes genitales con fines primordialmente sexuales, o toda representación de dichos menores en que se emplee su voz o imagen, con los mismos fines."
federaciones-deportivas-nacionales,181636;1053691;1060476;237718,¿Qué es una Federación Deportiva Nacional?,"Una Federación Deportiva Nacional (FDN) es una entidad con personalidad jurídica que organiza y promueve el deporte. En su seno se incorporan las federaciones deportivas regionales, asociaciones y clubes. Para ser considerada una FDN, la organización debe cumplir con los siguientes requisitos: Estar afiliada a una Federación Deportiva Internacional reconocida por el Comité Olímpico Internacional, o bien, estar reconocida como tal por el Instituto Nacional del Deporte (IND). Estar integrada por clubes o asociaciones que tengan sede en más de cinco regiones. Estar integrada por, a lo menos, quince clubes. Tener cada uno de los clubes, al menos, diez deportistas que hayan participado en competiciones oficiales de la Federación en alguno de los dos años anteriores. Tratándose de deportes que tengan un marcado acento local, hay una excepción. En este caso, el Director Nacional del IND podrá eximir del cumplimiento de dos de los requisitos: el de estar integrada por clubes o asociaciones que tengan sede en más de cinco regiones y estar integrada por al menos quince clubes."
femicidio,1984;242648;1143040;1021343,¿Cuáles son los casos de femicidio con mayor sanción penal?,"Comete femicidio el hombre que mata a una mujer que es o ha sido su cónyuge o conviviente, o con quien tiene o ha tenido un hijo en común. En estos casos la pena es de presidio mayor en su grado máximo a presidio perpetuo calificado, la misma pena del parricidio. Es decir, en esos casos se aplicará una condena que puede ir de quince años y un día de cárcel hasta el presidio perpetuo calificado, que le impide al sentenciado postular a la libertad condicional antes de cumplir los 40 años preso. La misma pena se impondrá al hombre que mata a una mujer en razón de tener o haber tenido con ella una relación de pareja de carácter sentimental o sexual sin convivencia."
trabajar-en-festividades,1030049;264651;207436;1017213,¿Un dependiente del comercio está obligado a trabajar en navidad o en fiestas patrias?,"No, los días 1 de enero, 1 de mayo, 18 y 19 de septiembre y 25 de diciembre de cada año son feriados obligatorios e irrenunciables para todos los dependientes del comercio. Se exceptúan aquellos dependientes que se desempeñen en clubes, restaurantes, establecimientos de entretenimiento (cines, espectáculos en vivo, discotecas, pubs, cabarets, locales comerciales en los aeródromos civiles públicos y aeropuertos, casinos de juego y otros lugares de juego legalmente autorizados), y los dependientes de expendio de combustibles, farmacias de urgencia y de las farmacias que deban cumplir turnos fijados por la Autoridad Sanitaria. Las tiendas de conveniencia asociadas a establecimientos de venta de combustibles podrán atender público en la medida que coexista la actividad de venta directa de los productos que allí se ofrecen, con la elaboración y venta de alimentos preparados, que pueden ser consumidos por el cliente en el propio local. Los trabajadores dependientes exceptuados del descanso en los feriados irrenunciables tendrán derecho a tener esos feriados, a lo menos, una vez cada dos años respecto de un mismo empleador, pudiendo pactar con éste la rotación del personal necesario para este fin. Los empleadores no podrán considerar el día de feriado irrenunciable como reemplazo de uno de los siete domingos libres anuales a que tiene derecho el trabajador."
filiacion,172986;229557;126366,¿Qué es la filiación?,"La relación de descendencia que existe entre dos personas, una de las cuales es el padre o madre de la otra."
fondo-nacional-para-el-fomento-del-deporte,1053691;181636;1166943,¿Qué es el Fondo Nacional para el Fomento del Deporte?,"Es un fondo de dinero administrado por el Instituto Nacional del Deporte, IND (dependiente del Ministerio del Deporte) para financiar, total o parcialmente, proyectos, programas, actividades y medidas de fomento, ejecución, práctica y desarrollo del deporte en sus diversas modalidades y manifestaciones."
fondos-de-pensiones,7147,¿Cómo surgió el actual sistema de pensiones?,"A través del Decreto Ley Nº 3.500 , publicado en noviembre de 1980, se cambió el antiguo sistema de pensiones (INP, cajas de empleados, etc.) que consistía en un fondo de   ahorro común al que aportaban todos los trabajadores. Ahora hay un sistema de capitalización individual, en que cada persona tiene una cuenta individual para su pensión de vejez."
fortalecimiento-y-proteccion-del-ejercicio-de-la-funcion-policial,1984;1191005,"¿Qué normas se aplican respecto de la defensa propia de personal policial, de Gendarmería o de las FF.AA si actúa en materia de orden público?","En la norma general, la ley exime de responsabilidad penal a quien actúa en su propia defensa o en defensa de los derechos de otra persona en circunstancias específicas en las que se dé una agresión ilegitima, exista la necesidad racional del medio empleado para impedir o repeler la agresión y haya falta de provocación suficiente por parte del que se defiende. Pero en el caso de funcionarios de Carabineros, de la Policía de Investigaciones (PDI), de Gendarmería de Chile y de las Fuerzas Armadas y los servicios bajo su dependencia cuando realicen funciones de orden público y seguridad pública interior, se incorporó una norma que especifica cuando se cumple con la racionalidad del medio empleado. Se entenderá que hay uso racional del medio empleado si, en razón de su cargo o con motivo u ocasión del cumplimiento de funciones de resguardo de orden público, el funcionario repele o impide una agresión que pueda afectar gravemente su integridad física o su vida o las de otra persona, empleando las armas o cualquier otro medio de defensa."
fuegos-artificiales,13031;1155423,¿En qué caso se sanciona la posesión de fuegos artificiales?,"Se sanciona a los que posean o tengan fuegos artificiales, artículos pirotécnicos y otros artefactos de similar naturaleza, sus partes, dispositivos y piezas sin la autorización de la Dirección General de Movilización Nacional (DGMN). La pena para este delito es de presidio menor en su grado mínimo (61 días a 540 días) o multa de 5 a 20 unidades tributarias mensuales."
habilitacion-temporal-de-especialidades-medicas,1150483;1182603;5595,¿Durante qué lapso regirá esta habilitación temporal de especialidades medicas?,"Se da un plazo de tres años, contado desde el 10 de octubre de 2020."
homicidio,1984;1066835;1180363,¿Qué es el homicidio?,"El homicidio consiste en matar a otra persona. Sin embargo, dependiendo de las circunstancias del hecho, la justicia determina que sanción se aplica o si no se condena al responsable (como, por ejemplo, cuando actuó en defensa propia)."
horas-extraordinarias,207436,"¿Cómo se pagan las horas extraordinarias que se realizan en día domingo, festivo o en horario nocturno respecto de trabajadores no autorizados para trabajar esos días?","De igual manera se pagan con  un recargo mínimo del 50% sobre el valor de la hora ordinaria según el sueldo convenido para la jornada de trabajo. Esto es lo legal, aunque las partes pueden acordar un recargo mayor."
humedales-urbanos,1141461,¿Cómo define la ley los humedales urbanos?,"La definición de humedales incluye las marismas (terrenos bajos y pantanosos que inundan las aguas del mar), pantanos y turberas (sitio pantanoso en el que se produce una capa de material orgánico, conocida como turba). En general, se trata de superficies cubiertas de aguas, sean éstas de régimen natural o artificial, permanentes o temporales, estancadas o corrientes, dulces, salobres o saladas, incluidas las extensiones de agua marina, cuya profundidad en marea baja no exceda los seis metros y que se encuentren total o parcialmente dentro del límite urbano."
igualdad-de-padre-y-madre-en-el-cuidado-de-los-hijos,225128;172986;1052090;229557,¿Cuáles son mis responsabilidades como padre o madre al obtener  el cuidado personal de mis hijos?,"Ocuparse de su crianza y educación. Sin embargo, en virtud del principio de corresponsabilidad, la ley dispone que, vivan juntos o separados padre y madre deben participar en forma activa, equitativa y permanente en la crianza y educación de los hijos. A falta de acuerdo de los padres, los hijos continuarán bajo el cuidado personal del padre o madre con quien estén conviviendo. Adicionalmente, el padre o madre que tenga el cuidado personal también tiene la patria potestad, es decir, los derechos y los deberes sobre los bienes del hijo hasta que se emancipe, lo que ocurre por ejemplo cuando cumple la mayoría de edad o se casa."
igualdad-de-salarios-entre-hombres-y-mujeres---igualdad-salarial,207436,¿Qué se puede hacer ante una vulneración del principio de igualdad salarial entre hombres y mujeres?,"Debe realizarse la denuncia por escrito ante el empleador, el que tendrá un plazo de 30 días para responder en forma fundada y por escrito. Si la respuesta no es satisfactoria, la persona podrá recurrir al procedimiento de tutela de derechos fundamentales de la Justicia Laboral."
imprescriptibilidad-de-los-delitos-sexuales-contra-menores-de-18-anos,1984;1041136;1053666;1134001;138814,¿Qué significa la imprescriptibilidad de estos delitos sexuales contra menores de 18 años?,"Significa que las víctimas pueden presentar acciones penales para perseguir estos delitos sin que se extinga la responsabilidad penal por el transcurso del tiempo. Es decir, los responsables podrían ser perseguidos y condenados sin límite de tiempo en cuanto a su persecución."
aumento-de-penas-a-los-que-causen-incendios-forestales,1048554;147733;19422;274894,¿Qué pena se aplica a quien comete incendios forestales?,"La  normativa señala que se castigará con presidio mayor en cualquiera de sus  grados (de 5 años y un día a 20 años de cárcel) a quien incendie bosques,  mieses (sembrados), pastos, montes, cierros (cercos), plantíos o formaciones  xerofíticas contempladas en la ley sobre recuperación del bosque nativo ( Ley Nº 20.283 ). Estas últimas se definen en esa ley como especies autóctonas preferentemente  arbustivas o suculentas, de áreas de condiciones áridas o semiáridas ubicadas  entre las Regiones I y VI, incluidas la Metropolitana y la XV y en las depresiones interiores  de las Regiones VII y VIII. Se  aplicará el mismo rango de penas al que provoque un incendio que afecte  gravemente las condiciones de vida animal o vegetal de un área silvestre protegida."
incentivos-a-la-generacion-electrica-residencial-a-partir-de-energias-renovables-no-convencionales,1125560;258171,¿Cuáles son las energías renovables no convencionales?,"Son las generadas por medios renovables no convencionales. La ley entiende como tales las siguientes: Aquellas cuya fuente de energía primaria sea la energía de la biomasa, correspondiente a la obtenida de materia orgánica y biodegradable. Generación a partir de energía hidráulica y cuya potencia máxima sea inferior a 20.000 kilowatts. Aquellos cuya fuente de energía primaria sea la energía geotérmica, la que se obtiene del calor natural del interior de la tierra. La energía solar, obtenida de la radiación solar. Energía eólica, correspondiente a la energía cinética del viento. Energía de los mares, correspondiente a toda forma de energía mecánica producida por el movimiento de las mareas, de las olas y de las corrientes, así como la obtenida de la variación de la temperatura de los mares. Otros medios de generación determinados fundadamente por la Comisión Nacional de Energía, que utilicen energías renovables para la generación de electricidad, contribuyan a diversificar las fuentes de abastecimiento de energía en los sistemas eléctricos y causen un bajo impacto ambiental."
incentivos-para-la-recuperacion-de-suelos-agricolas,1010857,¿En qué consisten los incentivos para la recuperación de suelos agricolas?,La Ley N° 20.412 establece un sistema de incentivos para fomentar la recuperación de suelos degradados para uso agropecuario. Este sistema estará vigente por 12 años a partir del 9 de febrero de 2010.   El Estado bonificará los costos netos de varias actividades orientadas a recuperar suelos agropecuarios degradados o a mantener el nivel de los suelos que se hayan recuperado.
inclusion-de-personas-en-situacion-de-discapacidad-al-mundo-laboral,236392;30651;207436;1103997;1114287,¿Cómo se asegurará la contratación de personas e situación discapacidad en los órganos del Estado?,"En esas instituciones, cuando tengan una dotación anual de 100 o más funcionarios o trabajadores, a lo menos el 1% de esa dotación deberán ser personas con discapacidad o beneficiados por una pensión de invalidez de cualquier régimen previsional. Las personas con discapacidad contratadas deberán contar con la calificación y certificación legal para ser consideradas dentro del porcentaje exigido. En el caso de las Fuerzas Armadas, de las Fuerzas de Orden y Seguridad Pública y de Gendarmería de Chile, esta obligación considerará sólo a su personal civil."
inclusion-social-de-personas-con-discapacidad,1091913;1055217;30651,¿Cuáles son los deberes del  Estado en materia de inclusión de las personas con discapacidad?,"En líneas generales: Promover  la igualdad de oportunidades de las personas con discapacidad y mejorar su  calidad de vida. Promover  la autonomía personal de las personas con discapacidad en situación de  dependencia. Proporcionar  información pública, permanente y actualizada sobre los planes conducentes a la  prevención de discapacidades. Fomentar  la rehabilitación en base comunitaria, así como la creación de centros públicos  o privados de prevención y rehabilitación."
incorporacion-de-trabajadores-y-trabajadoras-independientes-al-sistema-de-prevision-y-proteccion-social,28650;7147;1128420;1113014,¿Desde cuándo deben cotizar obligatoriamente los trabajadores independientes en el sistema de previsión social?,"Desde abril de 2019 se debe cotizar en forma obligatoria en el sistema de seguridad social para las siguientes prestaciones: Seguro de Invalidez y Sobrevivencia (SIS), Seguro de Accidentes Laborales y Enfermedades Profesionales (ATEP),  Seguro de Acompañamiento de Niños y Niñas (Ley SANNA),  Salud y Pensiones."
reforma-previsional-pensiones-solidarias,1139680;7147;269892,¿Qué incremento se aplicó a  las pensiones del llamado Pilar Solidario para los mayores de 80 años?,"La pensión básica solidaria de vejez y la pensión básica solidaria de invalidez para beneficiarios de 80 y más años de edad, se incrementan en 50%. La pensión máxima con aporte solidario aumenta también en un 50% para los pensionados de 80 años o más."
indemnizacion-por-despido,207436;1053719,¿Qué es la indemnización por despido?,"La suma de dinero que debe entregar el empleador al trabajador cuando pone término al contrato de trabajo, invocando alguna   de las causales que dan este derecho al trabajador, o cuando se ha estipulado esta indemnización en el contrato de trabajo. El pago de indemnización no corresponde si la causa de despido es por lo mencionado en el artículo 160 del Código del Trabajo: mala conducta del empleado, causar daños a la empresa, abandonar injustificadamente sus tareas, etc."
ingreso-etico-familiar,30157;226081;1006044;1040157,¿Cuál es el objetivo de la ley de ingreso ético familiar?,"La ley crea el Subsistema de Protección y Promoción Social denominado ""Seguridades y Oportunidades"", que forma parte del Sistema de Protección Social creado por la Ley N° 20.379 . Está destinado a personas y familias en situación de pobreza extrema. El Subsistema tiene por objeto brindar seguridades y oportunidades a las personas y familias que participen en él, de modo de promover el acceso a mejores condiciones de vida."
ingreso-minimo-garantizado,1144041;207436,"¿Qué pasa con los trabajadores que ganan más que el ingreso mínimo, pero menos de $384.363?","Si esos trabajadores cumplen 45 horas semanales, el aporte disminuye, pero se garantiza que tengan un ingreso líquido de al menos 300 mil pesos. Quienes trabajen más de 30 horas semanales y menos de 45, recibirán un monto proporcional a la cantidad de horas."
